Task,Difficulty,Problem Statement,Patterns,Hints,Last Revised Date,Notes
ConstructBst,Very Hard,Construct a binary tree from given inorder and preorder traversal.,"Recursion, Divide and Conquer",The root of the whole tree is the first element of the preorder array. Use the inorder array to find the partition point (the root's value) to split the remaining arrays into the left and right subtrees.,,"Difficult approach, difficult calculating right subtree preorder start index"
BstIterator,Easy,Implement an iterator for inorder traversal of a BST.,"Tree Traversal (Iterative), Stack, In-Order","Use a Stack to simulate the recursion of an in-order traversal. Initialize the stack by pushing the left-most path from the root. The next() call pops the top, then pushes the right child's left-most path.",,"Easy to approach, might face difficulty in implementation because in the solution only left subtree is inserted initially while I thought of inserting everything"
SumTree,Easy,Check if binary tree is a SumTree where each node equals sum of its subtree.,"Tree Traversal (Post-order), Recursion",A node's value must equal the sum of all nodes in its left and right subtrees. Use a post-order traversal. For each node, return the sum of the subtree rooted at that node. Check the SumTree condition at each node.,,Easy to understand and code
SerializeDeserializeBst,Very Hard,Serialize and deserialize a binary tree.,"Tree Traversal (Pre-order/BFS), String Manipulation, Bounds",Use Level Order Traversal (BFS). For serialization, store 'null' for missing children. For deserialization, use a Queue to reconstruct the tree level by level.,,"Could not come up with the approach, might have taken more time. Deserialize logic is also bit difficult to understand"
PathSum3,Hard,Count paths in a binary tree that sum to a target value. It does not need to start or end at root/leaf node,"Tree Traversal (DFS), Hash Map (Prefix Sum)","Use DFS to maintain a running path sum from the root to the current node. Use a HashMap to store the frequency of all prefix sums encountered so far. At each node, check if (current_sum - target) exists in the map.",1-Sep-2025,Could approach but bit tricky implementation
BinaryTreeMaximumPathSum,Hard,Find the maximum path sum in a binary tree from any node to any node.,"Tree Traversal (Post-order), Recursion, Global Max","The max path can be V-shaped (passing through the current node as the peak) or L-shaped (part of a larger path going up). The function should return the max path from the current node to one of its children (for parent paths), but update ther result maximum with the V-shaped path.",2-Nov-2025,
AmountOfTimeForBinaryTreeToBeInfected,Hard,Find time for infection to spread through entire binary tree from a starting node.,"Graph (Tree) Traversal, BFS, Adjacency List","First, create a child to parent map. Then, use BFS starting from the start node to find the maximum distance (time) to all other nodes.",2-Nov-2025,DIdn't understood the use of returning the startNode while creating the childToParent map
LeftView,Medium,Print the left view of a binary tree.,"Tree Traversal (BFS/DFS), Level Order","Use Level Order Traversal (BFS) and take the first element of each level. Alternatively, use DFS and track the maximum level visited so far; the first node seen at a new level is the left view node.",,
KDistance,Hard,Find all nodes at distance K from a target node in a binary tree.,"Tree Traversal, BFS, Graph Conversion","Use DFS to find the target node. Returns the distance from the target. If the target is in a subtree, traverse the other subtree looking for nodes at distance K - dist. Use a helper function to find nodes at distance d downwards from a node.",2-Sep-2025,
UniqueBinaryTree,Hard,Count number of structurally unique BSTs with n nodes.,"Dynamic Programming, Catalan Numbers, Memoization","This is a classic Catalan Number problem. DP state: dp[n] is the number of unique BSTs with n nodes. To form a BST with n nodes, pick the i-th node as the root. The left subtree has (i−1) nodes, and the right has (n−i) nodes. Recurrence: ∑i=1n​(dp[i−1]×dp[n−i]).",,Difficulty coming up with the approach
PermutationBst,Hard,Find the number of Binary Search Trees (BSTs) that can be created with N nodes with a maximum height of h.,"Recursion, Dynamic Programming","Use Recursion with Memoization (DP). State: (numNodes, height). Iterate through all possible roots (1 to numNodes). For each root, left subtree has (i-1) nodes and right has (numNodes-i) nodes. Recursive step: count left subtrees with height-1 and right subtrees with height-1.",,Difficulty coming up with the approach and left and right subtree input
BottomView,Medium,Print the bottom view of a binary tree.,"Tree Traversal (BFS/DFS), Coordinate System, Mapping","Use (column, value) coordinates. Use a Map to store the node for each vertical column. For BFS/DFS, the map entry for a column should be overwritten with the last node (lowest depth/row) encountered at that column.",,Easy approach but didn't click usage of TreeMap
TreeTraversal,Hard,"Perform inorder, preorder, or postorder traversal of a binary tree.","Stack, Iteration, In-order/Pre-order/Post-order","Pre-order (Iterative): Use Stack, push Right child then Left child. In-order (Iterative): Push all left nodes, then pop and go right. Post-order (Iterative): Use Two Stacks. Push root to first stack. Pop from first, push to second, then push Left and Right children to first stack. Finally print second stack.",,Iterative approaches are difficult to understand
DiagonalTraversal,Hard,Print diagonal traversal of a binary tree.,"Tree Traversal (DFS), Recursion","Use DFS. Maintain a list of lists for diagonals. When moving left, increment the diagonal index (diagonalNumber + 1). When moving right, keep the same diagonal index. Add nodes to the list corresponding to their diagonal index.",,Didn't get the approach first but easy to understand after looking at the code
FileSystem,Medium,Design an in-memory file system with file and directory operations.,"Trie/Map/Hash Map, Hierarchical Data Structure",Use a Map where the key is the directory/file path and the value is either a Map (for a directory) or a String (for file content).,,
CountTriplet,Medium,Count triplets in an array so that sum of 2 values is equal to 3rd value present in array,"Two Pointers, Sorting, HashSet","Sort the array. Fix the third element (target) from the end. Use 2 pointers (left and right) to find pairs whose sum equals the target. Move left forward if sum is less than target, move right backward if sum is greater.",,
MinLights,Hard,Find minimum lights needed to illuminate all positions.,"Greedy, String/Array Iteration","The light at index i covers a range. Use a greedy approach: iterate through the road. If the current position is not covered, place a light at the farthest position it can reach while still covering the current position.",,
MaximalSquare,Easy,Find the largest square containing only 1s in a binary matrix.,"Dynamic Programming, 2D Array","DP State: dp[i][j] stores the side length of the largest square with its bottom-right corner at (i,j). Recurrence: dp[i][j]=1+min(dp[i−1][j],dp[i][j−1],dp[i−1][j−1]) if matrix[i][j]=1.",,
ThreeSum,Medium,Find all unique triplets in an array that sum to zero.,"Two Pointers, Sorting","Sort the array first. Iterate over each element a, then use a Two Pointers approach on the remaining subarray to find b and c such that b+c=−a. Be sure to skip duplicates for a,b, and c.",,
SetMatrixZero,Easy,Set entire row and column to zero if an element is zero in a matrix.,"In-place Modification, Array/Matrix Manipulation",Use the first row and first column as auxiliary space (like a hash set) to mark which rows and columns need to be zeroed out. Handle the potential conflict of matrix[0][0] by using a separate variable for the first column.,,
PerfectSquares,Very Hard,Find minimum number of perfect squares that sum to n.,"Dynamic Programming, BFS (Alternative)","DP State: dp[i] is the minimum number of perfect square numbers that sum up to i. Recurrence: dp[i]=1+min(dp[i−j2]), where j2 is a perfect square less than or equal to i.",8-Sep-2025,Approach didn;t clicked for doing DP appraoch
AlternateArray,Impossible,Rearrange array elements in alternating max and min element order.,"Number Theory, Ad-Hoc Logic",Encode using formula `updatedElement = (originalElement + newElement × maxElement)` and decode using ,,Difficult modulo approach
DuplicateNumber,Hard,Find the duplicate number in an array of n+1 integers where each integer is in range [1, n]. One duplicate and some numbers are missing.,"Array as Linked List, Floyd's Cycle Detection (Tortoise and Hare)","The array can be viewed as a linked list where index→nums[index]. The presence of a duplicate means there is a cycle in this list. Use Floyd's Two Pointers (fast and slow) to detect the cycle intersection, then find the cycle entrance which is the duplicate number.",8-Sep-2025,Got the appraoch but got bit confused while implementing it
GameOfLife,Easy,Implement the next state of the board according to Game of Life rules.,"In-place Modification, State Machine","To do it in-place, you must encode the original state and the new state into the same cell using special values (e.g., 2 for live $\to$ dead, 3 for dead $\to$ live). After all cells are processed, decode the new state.",,
MinimumCostToConnectSticks,Medium,Find minimum cost to connect all sticks.,"Heap (Min-Heap), Greedy",This is a greedy problem. The most optimal way to minimize the total cost is to always merge the two smallest sticks available. Use a Min-Heap to efficiently get the two smallest sticks at each step.,,
ShortestWordDistance,Medium,Find shortest distance between two words in a list.,"Two Pointers, Array Iteration","Iterate through the array once. Keep track of the last seen index for word1 and word2. When you encounter one word, update its index and calculate the minimum absolute difference between the two last seen indices.",,
SpiralMatrixTraversal,Easy,Return elements of a matrix in spiral order.,"Iteration, Boundary/Layer Tracking","Process the matrix in layers (outer perimeter first). Keep track of four boundaries: top, bottom, left, and right. In each iteration, traverse the top row, then the right column, then the bottom row, then the left column, adjusting the boundaries after each traversal.",,
SentenceReverseInPlace,Easy,Reverse words in a sentence in-place.,"Array Manipulation, String/Word Reversal",The problem requires two steps: 1) Reverse the entire string (including all words and spaces). 2) Reverse each individual word back into its original form.,,
FirstAndLastPositionBinarySearch,Easy,Find first and last position of target element in sorted array.,"Binary Search, Modified Search","Perform two separate binary searches. One to find the first occurrence (keep searching left even if found), and one to find the last occurrence (keep searching right even if found).",,
MinTaps,Very Hard,Find minimum number of taps (with different range) to water the entire garden.,"Greedy, Range/Interval Coverage","Pre-process the taps to determine the maximum reach for each starting point. Then, use a greedy approach similar to ""Jump Game II"": at the current position, choose the tap that covers it and extends the farthest possible.",8-Sep-2025,Found the O(n) solution which is new to me
NextPermutation,Medium,Find the next lexicographically greater permutation of an array.,"Array Manipulation, Suffix Reversal",The sequence of steps is: 1) Find the first descending element from the right (the 'pivot'). 2) Find the smallest element to the right of the pivot that is greater than the pivot. 3) Swap these two elements. 4) Reverse the subarray to the right of the pivot.,8-Sep-2025,Have to memorize the logic of it
AppendCharactersToMakeSubsequence,Easy,Find minimum characters to append to make one string a subsequence of another.,"Two Pointers, Subsequence Check","Use Two Pointers, one on string s and one on string t. Iterate through s and advance the pointer for t only when s[i]=t[j]. The answer is the number of characters remaining in t after the traversal.",,
QueueReconstructionByHeight,Hard,Reconstruct queue based on height and number of taller people ahead.,"Greedy, Sorting, Insertion","This is a greedy problem. Sort the people: descending by height (h) and ascending by k (if heights are equal). Then, insert people into a list at the index specified by their k value. The height-descending sort ensures that when inserting, all people currently in the list are taller or equally tall.",14-Sep-2025,
LeastUniqueNumbers,Easy,Remove k elements to minimize number of unique integers.,"Hash Map, Sorting, Greedy","First, use a HashMap to count the frequency of each number. Then, sort the frequencies in ascending order. Greedily remove elements with the smallest frequency first until k elements have been removed.",,
QuickSort,Hard,Implement the QuickSort sorting algorithm.,"Sorting, Recursion, Partitioning","The core is the partitioning step: choose a pivot and rearrange the subarray such that all elements ≤ pivot are to its left, and all elements ≥ pivot are to its right. Then, recursively sort the left and right partitions.",,
ThreeSumClosest,Medium,Find three integers whose sum is closest to a target.,"Two Pointers, Sorting, Closest Value",Sort the array first. Iterate over the first element a. Use a Two Pointers approach for the remaining two elements (b and c). Track the minimum absolute difference between the current sum (a+b+c) and the target. Move the pointers based on whether the current sum is less than or greater than the target.,,
MaximumSumIncreasingTriplet,Hard,Find maximum sum of increasing triplet subsequence.,\"Dynamic Programming, Suffix Max, TreeSet\",\"Iterate through each element as the middle element (j). Use a Suffix Max array to find the largest element to the right (k). Use a TreeSet to find the largest element to the left (i) that is strictly smaller than nums[j]. Maximize nums[i] + nums[j] + nums[k].\",11-Sep-2025,\"Interesing appraoch, didn't get it\"
MergeIntervals,Hard,Merge all overlapping intervals.,"Sorting, Interval Manipulation","Sort the intervals by their start time. Iterate through the sorted intervals, merging the current interval with the last one in the result list if they overlap (i.e., current_start≤last_end).",2-Nov-2025,The merge part is not clear. Didn't understood the case with more than 2 interval merge case
InsertInterval,Hard,Insert a new interval into a sorted list of non-overlapping intervals.,"Interval Manipulation, Case Analysis",There are three cases when iterating through the existing intervals: 1) The current interval is before the new interval and non-overlapping. 2) The current interval overlaps with the new interval (merge them). 3) The current interval is after the new interval and non-overlapping.,11-Sep-2025,
FirstMissingPositive,Very Hard,Find the smallest missing positive integer.,\"Array as Hash Map, In-place Modification (Negation)\",\"Use the array indices (1..N) to mark presence of numbers. First, replace invalid numbers (<=0 or >N) with N+1. Then, for each number x, negate the value at index |x|-1 to mark x as present. Finally, the first index i where nums[i] is positive means i+1 is missing.\",11-Sep-2025,Using indexing for number is not intuitive but seems like a pattern
CountPairs,Easy,Count pairs in an array such that arr[i] - arr[j] = i - j,"Two Pointers, Sorting","Sort the array. Use Two Pointers (L=0,R=N−1) to check the sum of pairs. If nums[L]+nums[R]>target, move R left. If the sum is ≤target, all pairs (nums[L],nums[k]) where L<k≤R are valid, so add (R−L) to the count and move L right.",,
Search2DMatrix,Medium,Search for a target value in a 2D matrix where each row is sorted and firt element of a row is greater than last element of prev row,"Binary Search, 2D Array","The matrix is essentially a single sorted array. Map the 2D index (r,c) to a 1D index i=r×cols+c, and vice-versa. Then, perform a single standard Binary Search on the conceptual 1D array.",,"Converting from 2d matrix indices into 1d matrix indices is bit tricky, otherwise easy problem"
Search2DMatrixII,Hard,Search for a target in a matrix where rows and columns are sorted.,"Two Pointers, Search Space Reduction","Start the search from the top-right or bottom-left corner. If the current element is greater than the target, eliminate the current column. If it is less than the target, eliminate the current row. This reduces the search space in O(M+N) time.",,"Tricky approach, but easy after trick is understood"
JumpGame2,Hard,Find minimum number of jumps to reach the last index. Each array element represents your max jump from that position,"Greedy, BFS (Implicit)","Use a greedy approach. Track the farthest reach possible from the current jump (‘current_end‘). When the current position reaches ‘current_end‘, it means a jump is necessary. The next jump will reach the new ‘farthest_reach‘. This is implicitly a Breadth-First Search (BFS) layer-by-layer.",2-Sep-2025,Unintuitive approach
SuggestedProducts,Medium,Suggest at most three product names after each character typed.,"Trie, Sorting, String Matching","Trie (Prefix Tree): Build a Trie from all products. For each prefix, traverse the Trie. At the last node of the prefix, perform a DFS to collect up to three lexicographically smallest words.",,
RemoveDuplicate2,Easy,Remove duplicates from sorted array allowing at most two duplicates.,"Two Pointers, Array Manipulation","Use the Two Pointers approach. A pointer i iterates through the array, and another pointer j indicates the position to place the next valid element. The condition is that the element nums[i] can only be placed if it's not equal to nums[j−2], allowing up to two copies.",,
MaxScoreSplicedArray,Hard,Maximize score by splicing (take subarray from one array and replace it with subarray from other array of same indexes) two arrays.,"Kadane's Algorithm, Array Manipulation, Prefix Sum",The score is sum(nums1)+sum(nums2). Swapping a subarray changes the total score by: (new_sum)−(old_sum). The optimal swap will maximize the gain ∑i=LR​(nums2[i]−nums1[i]). Apply Kadane's Algorithm to the difference array (nums2−nums1) and (nums1−nums2).,,
TrieTest,Medium,Implement a Trie (prefix tree) data structure.,"Trie (Prefix Tree), Custom Data Structure","Implement the Trie structure using a map or array of children nodes. The key operations are insert, search, and startsWith.",,
DesignAddAndSearchWordsDataStructure,Very Hard,,,,,
Merge2Arrays,Very Hard,Merge two sorted arrays into one sorted array.,"Two Pointers, Array Manipulation, In-place Merging","Compare largest element of arr1 with smallest element of arr2. If arr1's element is greater, swap them. Move pointers inward and repeat until arrays are partitioned. Sort both arrays to restore sorted order within each array",2-Sep-2025,
MinWindowSubstring,Hard,Find minimum window substring containing all characters of another string.,"Sliding Window, Hash Map","Use a Sliding Window approach with two pointers (L,R). Use a HashMap to track the frequency of characters in the target string t. Maintain a counter for the number of required characters still missing in the current window. Shrink the window (L moves) when all required characters are present.",3-Nov-2025,The 2 pointers appraoch is no intuitive but interesting
InsertDeleteGetRandom,Medium,"Design a data structure supporting insert, delete, and getRandom in O(1).","Hash Map, Dynamic Array (List)",The key to O(1) delete is to swap the element to be deleted with the last element of the list before popping it. Use a HashMap to store value→index for O(1) look-up of the index for deletion.,,
SudokuValid,Easy,Determine if a Sudoku board is valid.,"Hash Set, Matrix/Grid Traversal","Use three sets (or boolean arrays) to track the presence of a number in each row, column, and 3×3 sub-box. Iterate over the grid once.",,
FourSum,Easy,Find all unique quadruplets in an array that sum to a target.,"Two Pointers, Sorting, K-Sum Reduction","Sort the array. Reduce the problem to TwoSum: iterate over the first two elements (a and b), then use the Two Pointers approach on the remaining subarray to find c and d such that c+d=target−a−b. Ensure to skip duplicates.",,
KadaneAlgo,Medium,Find maximum sum of a contiguous subarray (Kadane's Algorithm).,"Dynamic Programming, Array Iteration","DP State: At index i, track two things: the maximum subarray sum ending at i and the overall maximum subarray sum found so far. The key recurrence is: max_ending_here=max(nums[i],nums[i]+max_ending_here).",,
MedianArrays,Impossible,Find median of two sorted arrays.,"Binary Search, Partitioning","The core idea is to perform a Binary Search on the partition point (get the split index) of the smaller array. The goal is to find a split where the elements on the left of the partition are all ≤ the elements on the right of the partition in the merged array. This allows finding the k-th element in O(log(min(M,N))).",29-Sep-2025,
BinarySearchRotatedSorted,Easy,Search for a target in a rotated sorted array.,"Binary Search, Pivot Handling","The array is split into two sorted halves. The key is to determine which half the target might lie in. After calculating the mid, check if the left half (nums[low]…nums[mid]) is sorted. If the target is in that range, search there; otherwise, search the right half.",,
SumSubarrayFinder,Easy,Find subarray with a given sum.,"Hash Map, Prefix Sum","Use a HashMap to store the frequency of the prefix sum encountered so far. At each index i, check if current_sum−target exists in the map. The number of times it exists is the number of subarrays ending at i that sum up to the target.",,
TrappingRainWater,Medium,Calculate how much rainwater can be trapped between elevation bars.,"Two Pointers, Auxiliary Arrays, Stack (Monotonic)","Two Pointers: Use two pointers (L and R) and track the ‘max_left‘ and ‘max_right‘ seen so far. The water trapped at a pointer is max(0,min(max_left,max_right)−height[pointer]). Move the pointer corresponding to the smaller maximum height.",,
MissingNumber,Easy,Find the missing number in an arraycontaining n distinct numbers from range 1 to N,"Summation/XOR, Array Properties","The most efficient method uses the XOR property: XOR of a number with itself is 0. XOR all numbers from 0 to N with all numbers in the array. The result is the missing number. Alternatively, calculate the expected sum of 0 to N and subtract the array sum.",,
MinFlipsToMonotoneIncreasing,Hard,Find minimum flips to make binary string monotone increasing.,"Dynamic Programming, Greedy, Prefix Sum","Track variables onesCount and flipCount. If 1 is encountered, increment onesCount. If 0 is encountered, we have 2 choice - either flip previous ones (onesCount) or flip current zero (flipCount++). Take min of these",7-Sep-2025,The approach of using O(1) space complexity is not intuitive
MinimumDeletionsToMakeFrequenciesUnique,Hard,Find minimum deletions to make all character frequencies unique.,"Hash Map, Greedy, Set","First, count the frequencies using a HashMap. Then, use a greedy approach: iterate through the frequencies. If a frequency is already used (check using a Set), try to decrement it until it becomes a unique frequency or 0.",7-Sep-2025,
TicTacToe,Easy,Design a Tic-Tac-Toe game.,"Array/Matrix Manipulation, Win Condition Check","Check for the win condition after every move. The win conditions are: 1) a full row, 2) a full column, or 3) a full diagonal. Store the state of each row, column, and diagonal to check in O(1) after each move.",,
MeetingSchedule,Easy,Determine if a person can attend all meetings.,"Sorting, Interval/Time Slot Check",Sort the meetings by their start time. Check for overlap: meeting[i] and meeting[i−1] overlap if meeting[i].start<meeting[i−1].end.,,
MeetingRoomsIII,Very Hard,Given a list of meeting timings and k meeting rooms. find meeting room which held most number of meetings.,"Heap (Min-Heap), Interval Scheduling","Use two Min-Heaps: one for available rooms (storing the room index) and one for busy rooms (storing ‘end_time‘,‘room_index‘). Prioritize rooms that finish earliest. Use a count array to track usage. If all rooms are busy, delay the start time of the current meeting to the min(end_time) of the busy rooms.",7-Sep-2025,
KthElement,Impossible,Find the kth smallest/largest element in 2 sorted arrays,"Binary Search, Partitioning (similar to MedianArrays)",Use binary search on the smaller array to partition both arrays such that exactly k elements are in the left partitions. The kth element is the maximum of the two left partition ends. Key: ensure all left elements ≤ all right elements.,7-Sep-2025,
RottenOranges,Easy,Find minimum time to rot all oranges in a grid.,"BFS, Multi-Source Traversal","Start the BFS queue with all rotten oranges (multi-source BFS). Use the BFS layer-by-layer to represent the passing of one minute. The final time is the number of layers (depth) in the BFS, provided all fresh oranges are eventually rotten.",,
SwapAdjacentInLRString,Hard,Determine if one string can be transformed to another by swapping adjacent characters.,"Two Pointers, Pattern Matching, Relative Order","The number of L's and R's must be the same and in the same relative order. Additionally, an ’L’ can only move left (its index in start must be ≥ its index in end), and an ’R’ can only move right (its index in start must be ≤ its index in end).",15-Sep-2025,
PushDominoes,Hard,Simulate dominoes falling after initial pushes.,"Two Pointers, String/Array Simulation","Look for the forces between pairs of non-'.' characters. If ’R’…’R’, all fall right. If ’L’…’L’, all fall left. If ’R’…’L’, they fall towards the center, with the middle remaining standing if the distance is odd. If ’L’…’R’, nothing happens in between.",15-Sep-2025,
BinarySearch,Easy,Implement binary search algorithm.,"Binary Search, Divide and Conquer","The core idea is to check the middle element and discard the half that cannot contain the target, repeatedly halving the search space.",,
SortColors,Hard,"Sort an array of 0s, 1s, and 2s in-place.","Three Pointers, Dutch National Flag Algorithm","Use Three Pointers: L (next position for 0), R (next position for 2), and i (current element). Swap nums[i] with nums[L] if it's 0. Swap nums[i] with nums[R] if it's 2. If it's 1, just move i.",15-Sep-2025,Edge case of 2 swapping is missed
ContainerWithMostWater,Medium,Find two lines that together with x-axis form a container with maximum water.,"Two Pointers, Optimization","Use Two Pointers starting at the ends (L=0,R=N−1). The area is min(height[L],height[R])×(R−L). To maximize area, move the pointer that points to the shorter line, as this might potentially lead to a larger minimum height later.",,
BiggestCakePiece,Medium,Find the largest area piece of cake after horizontal and vertical cuts.,"Sorting, Interval/Range Maximization","Sort the horizontal cuts, and sort the vertical cuts. The maximum area is max(diff_h)×max(diff_v), where diff is the maximum difference between consecutive cuts (including 0 and the cake size).",,
ProductExceptSelf,Medium,Return array where each element is product of all elements except itself.,"Array Manipulation, Prefix/Suffix Products",Create two auxiliary arrays: ‘prefix‘ (stores the product of all elements to the left of i) and ‘suffix‘ (stores the product of all elements to the right of i). The result at i is prefix[i]×suffix[i]. This can be optimized to use only O(1) extra space by calculating in two passes.,,
BoundedRobot,Easy,Determine if robot stays within a circle after executing instructions.,"Geometry, State Simulation","Simulate the robot's moves. The robot is bounded if: 1) It returns to (0,0) after one cycle of instructions, OR 2) Its final direction is NOT North (i.e., it's not the initial direction 0).",,
MergeKSortedArrays,Medium,Merge k sorted arrays into one sorted array.,"Heap (Min-Heap), K-way Merge","Use a Min-Heap to store the smallest element from each of the K arrays. The heap stores (‘value‘, ‘array_index‘, ‘element_index‘). Continuously extract the minimum, add it to the result, and insert the next element from the same array into the heap.",11-Sep-2025,
RotatedSortedSearch,Medium,Search in a rotated sorted array.,"Binary Search, Pivot Handling","The array is split into two sorted halves. The key is to determine which half the target might lie in. After calculating mid, check if the left half (nums[low]…nums[mid]) is sorted. If the target is in that range, search left; otherwise, search right.",,
RotatedSortedSearchWithDuplicates,Hard,Search in a rotated sorted array with duplicate elements.,"Binary Search, Duplicate Handling","Same as the non-duplicate version, but if nums[low]=nums[mid]=nums[high], you cannot determine the sorted side. In this specific case, the only recourse is to shrink the window by moving low++ and high−−.",11-Sep-2025,The condition of duplicate on boundary is bit tricky. Need to recognize this pattern properly
JumpGame,Medium,Determine if you can reach the last index.,"Greedy, Array Traversal","The goal is to determine if the last index is reachable. Iterate backwards: maintain a variable ‘goal‘ set to the last index. In the loop, if an index i can reach ‘goal‘, update ‘goal‘=i. The answer is ‘goal‘==0.",11-Sep-2025,Got the approach but might have faced issue in the implementation
LongestConsecutiveSequence,Medium,Find length of longest consecutive elements sequence.,"Hash Set, Sequence Detection","Put all numbers into a HashSet for O(1) look-up. Iterate through the set. For each number, only start counting if it is the start of a sequence (i.e., number−1 is not in the set). Then, count the length of the sequence number,number+1,number+2,…",,"BIt fuzzy approach, could have done better"
DeleteRepeatingLetter,Medium,Remove duplicate letters to get smallest lexicographic order.,"String/Array Manipulation, Two Pointers","Use a Two Pointers approach. One pointer i is the original index, and the other pointer j is the index for the modified string. If char[i] is different from the previous character, copy it to char[j]; otherwise, skip.",,Able to come up with approach and also think about the code quite well
MedianFinder,Hard,Design a data structure to find median from a stream of integers.,"Two Heaps, Data Stream","Use two heaps: a Max-Heap (‘lower_half‘) for the smaller half of the numbers, and a Min-Heap (‘upper_half‘) for the larger half. The heaps must be balanced: size(‘lower_half‘)≈size(‘upper_half‘). The median is either max(‘lower_half‘) or (max(‘lower_half‘)+min(‘upper_half‘))/2.",29-Sep-2025,I remembered heap approach but still bit difficult that how to balance heaps
SudokuSolve,Medium,Solve a Sudoku puzzle.,"Backtracking, Recursion, Constraint Tracking","Use Backtracking/DFS. For the first empty cell, iterate through digits 1−9. Check if the digit is valid in the row, column, and 3×3 sub-box. If valid, place the digit and recurse. If recursion returns true, the puzzle is solved; otherwise, backtrack (undo the placement) and try the next digit.",,"Intuitive appraoch, bit difficulty with the storage and finding block of a index"
PairDivisibleBy60,Easy,Count pairs of songs with total duration divisible by 60.,"Hash Map, Modular Arithmetic",The condition for time[i]+time[j] to be divisible by 60 is that (time[i]mod60)+(time[j]mod60) must equal 60 (or 0 if both are 0). Use a HashMap to store the frequency of remainders (time[i]mod60). The required complement remainder is (60−remainder)mod60.,,Intuitive approach. Easy to solve
TwoSum,Easy,Find two numbers that add up to a target sum.,"Hash Map, Single Pass","Use a HashMap to store the numbers encountered so far as the key and their index as the value. For each number nums[i], check if target−nums[i] is already in the map.",,Easy
FactorsCombination,Medium,Find all combinations of factors for a given number.,"Backtracking, Recursion, Factorization","Use Backtracking/DFS. For a number n, iterate through all possible factors i from 2 up to n​ (or the previous factor). Add i to the current combination, and recursively find factors for the quotient n/i.",,"Easy to come up with approach, might face issue in code implementation"
LetterCombination,Medium,Generate all letter combinations from a phone number.,"Backtracking, Recursion, Permutation/Combination","Use Backtracking/DFS. The depth of the recursion is the length of the digits string. At each level of the recursion, iterate through the characters corresponding to the current digit and append them to the current combination before making the recursive call.",,Chose bit incorrect approach of using string manipulation without recursion
